"ID","sex","origin","2011_04","2011_05","2011_08","2011_09","2011_11","2012_02","2012_05","2013_01","2013_07","2014_06","2015_03","2016_03","2016_08","2017_03","2017_08","2018_02","2018_08","2019_09","2021_02","2021_06"
"2016_031","male","W",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2016_032","female","W",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"2016_033","female","W",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2016_034","female","W",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2016_035","male","W",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"2016_036","male","W",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2016_037","male","W",0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
"2016_038","female","W",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2016_039","female","W",0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
"2016_040","male","W",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2016_041","female","W",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"2016_045","female","W",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2016_046","male","W",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
"2016_047","female","W",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"2016_049","male","W",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"2016_051","male","W",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
"2016_053","female","W",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2016_054","male","W",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2016_055","male","W",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"2016_056","female","W",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"2016_057","male","W",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"2016_058","male","W",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"2016_059","female","W",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
